"","pm2.5","pm10","so2","no2","no","nox","o3","co","ws","wd","temp","relHum","pressure","death_count","Male","Female","BelowTen","SixtyFivePlus","TenToSixtyFour"
"pm2.5",1,0.918797748883792,0.400831544734291,0.221319598200758,0.202614158074641,0.246229014944855,0.0422105444095886,0.336783776415784,-0.259003693430383,0.265242725131739,-0.361832541975449,-0.331745838299104,0.0836077031156555,0.292031907715176,0.226280404957823,0.240865698913397,0.12701875716243,0.135790327040663,0.264308697037818
"pm10",0.918797748883792,1,0.378124030130045,0.219920841156815,0.211183263294202,0.245167739447267,0.0767152674882094,0.324935926315429,-0.208928550341722,0.301466007542764,-0.316899082841644,-0.439480945512106,0.0504047781721598,0.241965465015374,0.184052025543772,0.203377404659887,0.105926370880058,0.119856672168444,0.2149501370543
"so2",0.400831544734291,0.378124030130045,1,-0.0152258990130752,0.0518211080097507,0.0399783761873495,0.0888069645429752,0.172869416274881,-0.212920723937986,0.193730320278859,-0.233225241095323,-0.152716041400738,0.125280937603342,0.265529978143985,0.224847385280606,0.197993864624762,0.145280679260789,0.103291919586424,0.239872901668917
"no2",0.221319598200758,0.219920841156815,-0.0152258990130752,1,0.609174735376205,0.841810930141886,-0.130286951857561,0.115085016214398,-0.0859118394742309,-0.0215485404333929,-0.0761191545205558,-0.236495664228891,0.0205164883865647,0.027651660360606,0.0283019810516989,0.0173896065954398,0.00131540511789086,0.047810413110033,0.0108787393650019
"no",0.202614158074641,0.211183263294202,0.0518211080097507,0.609174735376205,1,0.854661214474506,-0.153372571261471,0.235311661063724,-0.0951907831097521,-0.00951241351690889,-0.180746287247653,-0.231812190662694,0.00543965542490576,-0.0719781839258625,-0.0413500154627275,-0.0731679805992088,-0.0408104171369659,0.00605776963470592,-0.0820968565932805
"nox",0.246229014944855,0.245167739447267,0.0399783761873495,0.841810930141886,0.854661214474506,1,-0.13587317995024,0.204616849340827,-0.120510873872092,0.0170987761787799,-0.154146589079556,-0.284617215004743,0.0137977367640297,-0.00776515083801942,0.00842936653753061,-0.0198453844974113,-0.0177981768261221,0.0420842129222198,-0.0253717198325024
"o3",0.0422105444095886,0.0767152674882094,0.0888069645429752,-0.130286951857561,-0.153372571261471,-0.13587317995024,1,-0.107566456843638,-0.0209488340407159,0.130762889266262,-0.0926812460854731,-0.0987282119202651,0.083247208842946,0.104178199328831,0.0837120256259199,0.082747875684035,0.0416116872469982,0.0144853301072351,0.113181618804755
"co",0.336783776415784,0.324935926315429,0.172869416274881,0.115085016214398,0.235311661063724,0.204616849340827,-0.107566456843638,1,-0.290527103777563,0.167033523230175,-0.247556381854749,-0.292038917354878,0.0975812815762875,-0.0350666354009132,-0.0191946346179885,-0.0381939895323047,-0.0253820808983055,0.0463651767278295,-0.0604177274777259
"ws",-0.259003693430383,-0.208928550341722,-0.212920723937986,-0.0859118394742309,-0.0951907831097521,-0.120510873872092,-0.0209488340407159,-0.290527103777563,1,-0.0523902009533195,0.120419935781937,0.105013665769989,-0.148026991395291,-0.110181670879229,-0.0964198369160712,-0.0798957692413736,-0.0686138273909653,-0.0519714330259465,-0.0917882336992398
"wd",0.265242725131739,0.301466007542764,0.193730320278859,-0.0215485404333929,-0.00951241351690889,0.0170987761787799,0.130762889266262,0.167033523230175,-0.0523902009533195,1,-0.0111698856104321,-0.327475013602208,-0.14142772943738,0.1080442553843,0.0726384439470964,0.10155826260702,0.0515932693640576,0.0572388678906649,0.0924921415279685
