"","pm2.5","pm10","so2","no2","no","nox","o3","co","ws","wd","temp","relHum","pressure","death_count","Male","Female","SixtyFivePlus","TenToSixtyFour","BelowTen"
"pm2.5",1,0.918797748883792,0.400831544734291,0.221319598200758,0.202614158074641,0.246229014944855,0.0422105444095886,0.336783776415784,-0.259003693430383,0.265242725131739,-0.361832541975449,-0.331745838299104,0.0836077031156555,0.166436731419594,0.104571862813425,0.136634231186697,0.118736146921848,0.121888289790941,0.00769246829228324
"pm10",0.918797748883792,1,0.378124030130045,0.219920841156815,0.211183263294202,0.245167739447267,0.0767152674882094,0.324935926315429,-0.208928550341722,0.301466007542764,-0.316899082841644,-0.439480945512106,0.0504047781721598,0.160972720114932,0.0922981223414554,0.139514524936818,0.115159080441941,0.116538503818392,0.0145140614809707
"so2",0.400831544734291,0.378124030130045,1,-0.0152258990130752,0.0518211080097507,0.0399783761873495,0.0888069645429752,0.172869416274881,-0.212920723937986,0.193730320278859,-0.233225241095323,-0.152716041400738,0.125280937603342,0.132729892841591,0.0819917822923573,0.109654219052513,0.0910916885101803,0.0982564982808595,0.0266849007667984
"no2",0.221319598200758,0.219920841156815,-0.0152258990130752,1,0.609174735376205,0.841810930141886,-0.130286951857561,0.115085016214398,-0.0859118394742309,-0.0215485404333929,-0.0761191545205558,-0.236495664228891,0.0205164883865647,0.0522173711999876,0.0241551204963394,0.0502738208236906,0.0557338158364615,0.0205955446900076,-0.016257711060855
"no",0.202614158074641,0.211183263294202,0.0518211080097507,0.609174735376205,1,0.854661214474506,-0.153372571261471,0.235311661063724,-0.0951907831097521,-0.00951241351690889,-0.180746287247653,-0.231812190662694,0.00543965542490576,0.0215178881157969,0.0174811228753431,0.0140344881329488,0.0444862207070314,-0.0117658464097601,-0.0305148919281607
"nox",0.246229014944855,0.245167739447267,0.0399783761873495,0.841810930141886,0.854661214474506,1,-0.13587317995024,0.204616849340827,-0.120510873872092,0.0170987761787799,-0.154146589079556,-0.284617215004743,0.0137977367640297,0.0507118020590607,0.0290988196072485,0.0441420427960808,0.0615948151969086,0.0126420452772893,-0.0217019030995698
"o3",0.0422105444095886,0.0767152674882094,0.0888069645429752,-0.130286951857561,-0.153372571261471,-0.13587317995024,1,-0.107566456843638,-0.0209488340407159,0.130762889266262,-0.0926812460854731,-0.0987282119202651,0.083247208842946,0.0421038919022097,0.0193615403315767,0.0412287048981028,0.0383693651437968,0.0190474929425793,0.0207378147501472
"co",0.336783776415784,0.324935926315429,0.172869416274881,0.115085016214398,0.235311661063724,0.204616849340827,-0.107566456843638,1,-0.290527103777563,0.167033523230175,-0.247556381854749,-0.292038917354878,0.0975812815762875,0.0718762036260036,0.0515062173665357,0.0513721149277779,0.0721576735760645,0.033189098342345,-0.0212328693542552
"ws",-0.259003693430383,-0.208928550341722,-0.212920723937986,-0.0859118394742309,-0.0951907831097521,-0.120510873872092,-0.0209488340407159,-0.290527103777563,1,-0.0523902009533195,0.120419935781937,0.105013665769989,-0.148026991395291,-0.0550890147021922,-0.0291008548991695,-0.048919177774773,-0.0424283020820061,-0.0340020966630456,-0.023215732903796
"wd",0.265242725131739,0.301466007542764,0.193730320278859,-0.0215485404333929,-0.00951241351690889,0.0170987761787799,0.130762889266262,0.167033523230175,-0.0523902009533195,1,-0.0111698856104321,-0.327475013602208,-0.14142772943738,0.0594839181860973,0.0262057956261933,0.0579444933585181,0.0431097129814847,0.0442877082860759,-0.00765010238883722
