"","pm2.5","pm10","so2","no2","no","nox","o3","co","ws","wd","temp","relHum","pressure","death_count","Male","Female","BelowTen","TenToSixtyFour","SixtyFivePlus"
"pm2.5",1,0.805852598847982,0.397632455656865,0.483211242579817,0.481384891142482,0.514079292261853,-0.201560960017536,0.545467477369445,-0.330207887036984,0.156256211104593,-0.298538041589575,-0.378515213979661,0.170186190938197,0.227826291776055,0.17365833240507,0.177029323851904,0.0722776861652357,0.184115293845081,0.141860476304431
"pm10",0.805852598847982,1,0.426682173484777,0.487245013282166,0.445404358851385,0.488296139798442,-0.290621403408336,0.63194679054121,-0.33501860795441,0.179015888950543,-0.36688561133097,-0.556300691587635,0.183288806870559,0.231169757671985,0.178334813517592,0.177975977754509,0.0925197818350316,0.17100691938774,0.159613646704187
"so2",0.397632455656865,0.426682173484777,1,0.442557209520918,0.415105999400403,0.453014330417759,-0.301801939748305,0.409119337317474,-0.385969749333831,0.0183557161699445,-0.292128494391981,-0.240269332129495,0.091328714459947,0.2078785276281,0.168116857638408,0.152294304473116,0.0831422659721943,0.174212027145156,0.10737737341484
"no2",0.483211242579817,0.487245013282166,0.442557209520918,1,0.753432873315351,0.889642101677875,-0.311774249669717,0.382079786089031,-0.397308332788713,0.108311829968231,-0.179320701177539,-0.277795830454339,0.151389684177345,0.275344119035717,0.226141322136629,0.197714182515063,0.115235143315578,0.23297080082014,0.135010997315913
"no",0.481384891142482,0.445404358851385,0.415105999400403,0.753432873315351,1,0.964629889920621,-0.329229120281442,0.383529764962599,-0.299450641020398,0.0991699857676343,-0.274685029472736,-0.185595960723078,0.0963024580356433,0.317606216571187,0.25427442977689,0.234615737335005,0.118909909386712,0.28437204385557,0.137036345838819
"nox",0.514079292261853,0.488296139798442,0.453014330417759,0.889642101677875,0.964629889920621,1,-0.341391151524554,0.406919259829748,-0.353068340347667,0.106261983664968,-0.250792131431184,-0.22233890706987,0.116095450874568,0.320676345740999,0.257371324836643,0.236437329526058,0.124604316645002,0.281757672840393,0.144938071436201
"o3",-0.201560960017536,-0.290621403408336,-0.301801939748305,-0.311774249669717,-0.329229120281442,-0.341391151524554,1,-0.352118076156831,0.236718162220835,0.0250117116314409,0.363813476150738,-0.024961113811468,-0.22062119297788,-0.218578271693923,-0.181082610679937,-0.153711032806065,-0.128729459911191,-0.189966335081151,-0.0743318985271311
"co",0.545467477369445,0.63194679054121,0.409119337317474,0.382079786089031,0.383529764962599,0.406919259829748,-0.352118076156831,1,-0.414996164514758,0.122390235135771,-0.361961937937986,-0.335894157931235,0.212896268678075,0.143467614025104,0.111624437581125,0.109034338022478,0.0425060976330664,0.0850373219963666,0.145999600523106
"ws",-0.330207887036984,-0.33501860795441,-0.385969749333831,-0.397308332788713,-0.299450641020398,-0.353068340347667,0.236718162220835,-0.414996164514758,1,-0.14766855031023,0.168069868300661,0.179555045057909,-0.175134808493144,-0.0920171278682274,-0.0913352157599816,-0.0486271804869257,-0.0230963511069822,-0.0612211906607786,-0.0844884722238933
"wd",0.156256211104593,0.179015888950543,0.0183557161699445,0.108311829968231,0.0991699857676343,0.106261983664968,0.0250117116314409,0.122390235135771,-0.14766855031023,1,0.0773826880098695,-0.177749650141964,-0.11790494101594,0.0204884493699638,0.0113769484449193,0.0207852396064919,-4.28647957271586e-05,0.00717828882426202,0.0335739650769174
"temp",-0.298538041589575,-0.36688561133097,-0.292128494391981,-0.179320701177539,-0.274685029472736,-0.250792131431184,0.363813476150738,-0.361961937937986,0.168069868300661,0.0773826880098695,1,0.014298304892579,-0.314552975402981,-0.203960039027421,-0.161284416792945,-0.150702182617057,-0.110075601025368,-0.150957143458154,-0.122403111359421
"relHum",-0.378515213979661,-0.556300691587635,-0.240269332129495,-0.277795830454339,-0.185595960723078,-0.22233890706987,-0.024961113811468,-0.335894157931235,0.179555045057909,-0.177749650141964,0.014298304892579,1,-0.0779174760013227,-0.0875685177396872,-0.0574251113494261,-0.0788315200000433,-0.0342265767899104,-0.0492852540824233,-0.0884289434765686
"pressure",0.170186190938197,0.183288806870559,0.091328714459947,0.151389684177345,0.0963024580356433,0.116095450874568,-0.22062119297788,0.212896268678075,-0.175134808493144,-0.11790494101594,-0.314552975402981,-0.0779174760013227,1,0.046272773004134,0.0356514615976792,0.0350299861985966,0.0346038184604064,0.0185121587104078,0.0494478705873392
"death_count",0.227826291776055,0.231169757671985,0.2078785276281,0.275344119035717,0.317606216571187,0.320676345740999,-0.218578271693923,0.143467614025104,-0.0920171278682274,0.0204884493699638,-0.203960039027421,-0.0875685177396872,0.046272773004134,1,0.78837164531564,0.746163564143383,0.414139798464362,0.84413596278168,0.496638747711521
"Male",0.17365833240507,0.178334813517592,0.168116857638408,0.226141322136629,0.25427442977689,0.257371324836643,-0.181082610679937,0.111624437581125,-0.0913352157599816,0.0113769484449193,-0.161284416792945,-0.0574251113494261,0.0356514615976792,0.78837164531564,1,0.180346587528704,0.317222415371185,0.67081768519612,0.388066357049854
"Female",0.177029323851904,0.177975977754509,0.152294304473116,0.197714182515063,0.234615737335005,0.236437329526058,-0.153711032806065,0.109034338022478,-0.0486271804869257,0.0207852396064919,-0.150702182617057,-0.0788315200000433,0.0350299861985966,0.746163564143383,0.180346587528704,1,0.316452676128533,0.624616538230829,0.375086167533595
"BelowTen",0.0722776861652357,0.0925197818350316,0.0831422659721943,0.115235143315578,0.118909909386712,0.124604316645002,-0.128729459911191,0.0425060976330664,-0.0230963511069822,-4.28647957271586e-05,-0.110075601025368,-0.0342265767899104,0.0346038184604064,0.414139798464362,0.317222415371185,0.316452676128533,1,0.134151737503134,0.0546944101868419
"TenToSixtyFour",0.184115293845081,0.17100691938774,0.174212027145156,0.23297080082014,0.28437204385557,0.281757672840393,-0.189966335081151,0.0850373219963666,-0.0612211906607786,0.00717828882426202,-0.150957143458154,-0.0492852540824233,0.0185121587104078,0.84413596278168,0.67081768519612,0.624616538230829,0.134151737503134,1,0.0486542662945105
"SixtyFivePlus",0.141860476304431,0.159613646704187,0.10737737341484,0.135010997315913,0.137036345838819,0.144938071436201,-0.0743318985271311,0.145999600523106,-0.0844884722238933,0.0335739650769174,-0.122403111359421,-0.0884289434765686,0.0494478705873392,0.496638747711521,0.388066357049854,0.375086167533595,0.0546944101868419,0.0486542662945105,1
