"","pm2.5","pm10","so2","no2","no","nox","o3","co","ws","wd","temp","relHum","pressure","death_count","Male","Female","SixtyFivePlus","TenToSixtyFour","BelowTen"
"pm2.5",1,0.805852598847982,0.397632455656865,0.483211242579817,0.481384891142482,0.514079292261853,-0.201560960017536,0.545467477369445,-0.330207887036984,0.156256211104593,-0.298538041589575,-0.378515213979661,0.170186190938197,0.123705181206485,0.089599746498007,0.0878926118134709,0.101017177560302,0.0714645273160179,0.0199363464641683
"pm10",0.805852598847982,1,0.426682173484777,0.487245013282166,0.445404358851385,0.488296139798442,-0.290621403408336,0.63194679054121,-0.33501860795441,0.179015888950543,-0.36688561133097,-0.556300691587635,0.183288806870559,0.15373335333708,0.11079092922552,0.109815444140852,0.119746346536053,0.0953094559452909,0.0273078067001929
"so2",0.397632455656865,0.426682173484777,1,0.442557209520918,0.415105999400403,0.453014330417759,-0.301801939748305,0.409119337317474,-0.385969749333831,0.0183557161699445,-0.292128494391981,-0.240269332129495,0.091328714459947,0.0832198941849811,0.0419954850846357,0.078361495530154,0.0663515596063317,0.0481798207827161,0.026882638455621
"no2",0.483211242579817,0.487245013282166,0.442557209520918,1,0.753432873315351,0.889642101677875,-0.311774249669717,0.382079786089031,-0.397308332788713,0.108311829968231,-0.179320701177539,-0.277795830454339,0.151389684177345,0.107748037846849,0.0568744107658544,0.0962989226402361,0.0813993425061737,0.0731141020051983,-0.00591629886943245
"no",0.481384891142482,0.445404358851385,0.415105999400403,0.753432873315351,1,0.964629889920621,-0.329229120281442,0.383529764962599,-0.299450641020398,0.0991699857676343,-0.274685029472736,-0.185595960723078,0.0963024580356433,0.124873195083996,0.0819329825537874,0.0968228370404936,0.0848439707781141,0.0950533148877132,-0.000215901698988583
"nox",0.514079292261853,0.488296139798442,0.453014330417759,0.889642101677875,0.964629889920621,1,-0.341391151524554,0.406919259829748,-0.353068340347667,0.106261983664968,-0.250792131431184,-0.22233890706987,0.116095450874568,0.122956172563427,0.0747283191117348,0.100785784370384,0.0850774178076439,0.0918677227837286,-0.000860045307569788
"o3",-0.201560960017536,-0.290621403408336,-0.301801939748305,-0.311774249669717,-0.329229120281442,-0.341391151524554,1,-0.352118076156831,0.236718162220835,0.0250117116314409,0.363813476150738,-0.024961113811468,-0.22062119297788,-0.0920708838019245,-0.0508008434843193,-0.081637697983219,-0.0625848793994401,-0.0685362442351036,-0.0112352780238156
"co",0.545467477369445,0.63194679054121,0.409119337317474,0.382079786089031,0.383529764962599,0.406919259829748,-0.352118076156831,1,-0.414996164514758,0.122390235135771,-0.361961937937986,-0.335894157931235,0.212896268678075,0.0930656782431453,0.060631868047898,0.0733580347962278,0.0941126371064107,0.0344552401176612,-0.000554557837405771
"ws",-0.330207887036984,-0.33501860795441,-0.385969749333831,-0.397308332788713,-0.299450641020398,-0.353068340347667,0.236718162220835,-0.414996164514758,1,-0.14766855031023,0.168069868300661,0.179555045057909,-0.175134808493144,-0.0763103553579059,-0.043699361620247,-0.0661985408678247,-0.063353327206708,-0.0449595457357602,0.00350259283490577
"wd",0.156256211104593,0.179015888950543,0.0183557161699445,0.108311829968231,0.0991699857676343,0.106261983664968,0.0250117116314409,0.122390235135771,-0.14766855031023,1,0.0773826880098695,-0.177749650141964,-0.11790494101594,0.0645191202722164,0.0396549981832682,0.0531791463798123,0.0554575561403698,0.0354466913407041,-0.000466707510560934
"temp",-0.298538041589575,-0.36688561133097,-0.292128494391981,-0.179320701177539,-0.274685029472736,-0.250792131431184,0.363813476150738,-0.361961937937986,0.168069868300661,0.0773826880098695,1,0.014298304892579,-0.314552975402981,-0.139016184925641,-0.115253865260476,-0.0850033127002276,-0.100980099105635,-0.0955286191412974,-0.0192320074159898
"relHum",-0.378515213979661,-0.556300691587635,-0.240269332129495,-0.277795830454339,-0.185595960723078,-0.22233890706987,-0.024961113811468,-0.335894157931235,0.179555045057909,-0.177749650141964,0.014298304892579,1,-0.0779174760013227,-0.100386274677049,-0.085371447424196,-0.059191022112658,-0.0874327772130728,-0.0537016076899302,-1.63339514338771e-05
"pressure",0.170186190938197,0.183288806870559,0.091328714459947,0.151389684177345,0.0963024580356433,0.116095450874568,-0.22062119297788,0.212896268678075,-0.175134808493144,-0.11790494101594,-0.314552975402981,-0.0779174760013227,1,0.0494807566950759,0.0417253862834522,0.0300015582264055,0.0740869221860976,-0.00956663606458499,-0.00400267100589722
"death_count",0.123705181206485,0.15373335333708,0.0832198941849811,0.107748037846849,0.124873195083996,0.122956172563427,-0.0920708838019245,0.0930656782431453,-0.0763103553579059,0.0645191202722164,-0.139016184925641,-0.100386274677049,0.0494807566950759,1,0.704451808336236,0.72805051094025,0.763582102420936,0.650139132723304,0.0868268880537513
"Male",0.089599746498007,0.11079092922552,0.0419954850846357,0.0568744107658544,0.0819329825537874,0.0747283191117348,-0.0508008434843193,0.060631868047898,-0.043699361620247,0.0396549981832682,-0.115253865260476,-0.085371447424196,0.0417253862834522,0.704451808336236,1,0.0281371429569517,0.467693425671062,0.541450049106174,0.0566053760255844
"Female",0.0878926118134709,0.109815444140852,0.078361495530154,0.0962989226402361,0.0968228370404936,0.100785784370384,-0.081637697983219,0.0733580347962278,-0.0661985408678247,0.0531791463798123,-0.0850033127002276,-0.059191022112658,0.0300015582264055,0.72805051094025,0.0281371429569517,1,0.623439144222263,0.392984106864244,0.0683636171312067
"SixtyFivePlus",0.101017177560302,0.119746346536053,0.0663515596063317,0.0813993425061737,0.0848439707781141,0.0850774178076439,-0.0625848793994401,0.0941126371064107,-0.063353327206708,0.0554575561403698,-0.100980099105635,-0.0874327772130728,0.0740869221860976,0.763582102420936,0.467693425671062,0.623439144222263,1,0.0132439746383711,7.69065476588541e-05
"TenToSixtyFour",0.0714645273160179,0.0953094559452909,0.0481798207827161,0.0731141020051983,0.0950533148877132,0.0918677227837286,-0.0685362442351036,0.0344552401176612,-0.0449595457357602,0.0354466913407041,-0.0955286191412974,-0.0537016076899302,-0.00956663606458499,0.650139132723304,0.541450049106174,0.392984106864244,0.0132439746383711,1,0.00265450226038626
"BelowTen",0.0199363464641683,0.0273078067001929,0.026882638455621,-0.00591629886943245,-0.000215901698988583,-0.000860045307569788,-0.0112352780238156,-0.000554557837405771,0.00350259283490577,-0.000466707510560934,-0.0192320074159898,-1.63339514338771e-05,-0.00400267100589722,0.0868268880537513,0.0566053760255844,0.0683636171312067,7.69065476588541e-05,0.00265450226038626,1
