year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2009;Female;1035;2;3;2.83561643835616;1.74322628320431;4;8;0.704772972880407;3.62773134721341
2009;Male;745;1;2;2.04109589041096;1.3989630791496;3;6;0.42718329758113;2.69270344389204
2009;SixtyFivePlus;944;1;2;2.58630136986301;1.55532716855149;4;7;0.668062507363204;3.51003400855935
2009;TenToSixtyFour;813;1;2;2.22739726027397;1.50285993604032;3;6.36000000000001;0.683926592183458;3.52389018806039
2009;death_count;1780;3;5;4.87671232876712;2.25042856406574;6;11;0.471052333490476;3.16452714105241
2010;Female;929;1;2;2.54520547945205;1.58504697956951;4;6.36000000000001;0.451847446534979;2.94740205159348
2010;Male;786;1;2;2.15342465753425;1.38020564956988;3;6;0.570790660969052;3.14664321111979
2010;SixtyFivePlus;809;1;2;2.21643835616438;1.52082735748408;3;6;0.640246989731797;2.86564083043134
2010;TenToSixtyFour;887;1;2;2.43013698630137;1.54018381694342;3;6;0.522351419881581;3.03835276014608
2010;death_count;1717;3;5;4.7041095890411;2.23363636622631;6;10;0.392884645177723;2.79457969913635
2011;Female;824;1;2;2.25753424657534;1.48045116825874;3;6;0.681142868564292;3.39228081420801
2011;Male;620;1;2;1.6986301369863;1.26539890234515;3;5;0.514510473499429;2.74215923177826
2011;SixtyFivePlus;797;1;2;2.18356164383562;1.54662106877958;3;7;0.856083499840898;3.85608082840348
2011;TenToSixtyFour;627;1;1;1.71780821917808;1.31551837292099;3;5;0.740119484422739;3.33624319983468
2011;death_count;1444;3;4;3.95616438356164;1.96626677433375;5;9;0.452026917037874;3.17191275438085
2012;Female;814;1;2;2.22404371584699;1.56295155912328;3;6;0.629886872576036;2.89989526716714
2012;Male;611;1;2;1.66939890710383;1.29381803865516;2;5;0.661500511996631;3.17700483959955
2012;SixtyFivePlus;792;1;2;2.16393442622951;1.59121211179698;3;6.35000000000002;0.78029067091126;3.36196902383621
2012;TenToSixtyFour;618;1;1.5;1.68852459016393;1.37142242253709;2;5;0.815304792497361;3.4683802442229
2012;death_count;1428;2;4;3.90163934426229;2.16222805964122;5;9;0.475449581510546;3.02806651290163
2013;Female;813;1;2;2.22739726027397;1.4412735014689;3;6;0.645861680524579;3.26109436252966
2013;Male;634;1;2;1.73698630136986;1.28040031185682;2;5;0.932465996077081;4.70365159422934
2013;SixtyFivePlus;790;1;2;2.16438356164384;1.49554006039842;3;6;0.561627949910123;3.03463057651108
2013;TenToSixtyFour;643;1;2;1.76164383561644;1.36101833814041;3;5.36000000000001;0.777025907335382;4.0390552638815
2013;death_count;1448;3;4;3.96712328767123;1.89534238219573;5;9;0.493333599476593;3.04241086658182
2014;Female;810;1;2;2.21917808219178;1.52494438146159;3;6;0.544261324638065;2.95467210509905
2014;Male;660;1;1;1.80821917808219;1.41671278552294;3;5.36000000000001;0.87549203187328;3.63020535331129
2014;SixtyFivePlus;821;1;2;2.24931506849315;1.55513358385894;3;7;0.792112602798387;3.51427231143031
2014;TenToSixtyFour;640;1;2;1.75342465753425;1.38060368542298;3;6;0.793153643302699;3.4196127615888
2014;death_count;1475;3;4;4.04109589041096;2.14858985294178;5;10;0.693884352411075;3.67531324181099
2015;Female;739;1;2;2.02465753424658;1.53778247846577;3;6.36000000000001;0.94359950340404;4.17485875197243
2015;Male;557;1;1;1.52602739726027;1.2913519831178;2;5.36000000000001;1.11522115326667;4.96450393346685
2015;SixtyFivePlus;805;1;2;2.20547945205479;1.54207388640835;3;7;0.787901531392176;4.05210220345284
2015;TenToSixtyFour;489;0;1;1.33972602739726;1.30707497094767;2;5;1.08397792609135;4.04786147337402
2015;death_count;1298;2;3;3.55616438356164;2.11619775539451;5;10.36;0.843105686826133;4.2029139020799
2016;Female;729;1;2;1.99180327868852;1.39566394062729;3;6;0.620109933729631;2.92725575402618
2016;Male;561;1;1;1.5327868852459;1.31493690392619;2;5;0.98573748492444;3.98227595444898
2016;SixtyFivePlus;791;1;2;2.16120218579235;1.44059450345768;3;6;0.586505482626982;2.9370620335096
2016;TenToSixtyFour;495;0;1;1.35245901639344;1.17919497369476;2;5;0.907404502729756;3.7403865428617
2016;death_count;1291;2;3;3.52732240437158;1.87062862187451;5;8;0.451309317626015;2.81268014447171
2017;Female;732;1;2;2.00547945205479;1.44874807748679;3;5.36000000000001;0.701559677121512;3.41616772990814
2017;Male;519;1;1;1.42191780821918;1.21463676288569;2;5;0.946958841146308;4.36869377900554
2017;SixtyFivePlus;735;1;2;2.01369863013699;1.4092819335631;3;6;0.659797382655732;3.19402297130053
2017;TenToSixtyFour;508;0;1;1.39178082191781;1.21909638494462;2;5;0.949319969701568;4.0688722169856
2017;death_count;1251;2;3;3.42739726027397;1.90092952060306;5;8.36000000000001;0.57230772158083;3.09986266208762
2018;Female;641;1;2;1.75616438356164;1.42128504589861;3;6;0.946850440570437;4.15130184404776
2018;Male;518;0;1;1.41917808219178;1.23464831650651;2;5;0.786922941663467;3.12519966972944
2018;SixtyFivePlus;708;1;2;1.93972602739726;1.47196696223781;3;6;0.885603399437454;4.2252316079544
2018;TenToSixtyFour;445;0;1;1.21917808219178;1.12960383192547;2;4;0.867946824736029;3.64883140072594
2018;death_count;1159;2;3;3.17534246575342;1.88310744048103;4;8;0.521989802627266;3.3664742226433
