year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2008;Female;1721;3;5;4.70218579234973;2.25652068906561;6;11;0.61344447609477;3.64918924780053
2008;Male;1748;3;5;4.77595628415301;2.06976169318519;6;10;0.247246496270888;2.84039693694834
2008;death_count;3470;7;9;9.48087431693989;3.26096301442086;11;18.35;0.555548015234428;3.84290340196567
2009;Female;1693;3;5;4.63835616438356;2.22884623339949;6;10;0.312835540497014;2.63307932902319
2009;Male;1619;3;4;4.43561643835616;2.16854193830568;6;10;0.567550800957151;3.06658294925774
2009;death_count;3313;7;9;9.07671232876712;3.07857362022573;11;17;0.308492994119064;2.83628629962024
2010;Female;1544;3;4;4.23013698630137;2.05732976219515;5;9;0.418869960488344;2.70219803523632
2010;Male;1642;3;4;4.4986301369863;2.12600933693566;6;10;0.471693841053301;3.20776368187183
2010;death_count;3189;6;8;8.73698630136986;3.02223931102561;11;16;0.371521875091618;2.73319436628393
2011;Female;1311;2;3;3.60164835164835;1.9814838548894;5;9;0.673443001002348;3.38233012562643
2011;Male;1295;2;3;3.55769230769231;2.04211070892077;5;9;0.620386170225044;3.43715544289882
2011;death_count;2607;5;7;7.16208791208791;2.9305255845354;9;15;0.502407949605509;3.03875708127116
2012;Female;1227;2;3;3.36164383561644;2.0610616954276;5;9;0.67214343331976;3.68643190312458
2012;Male;1165;2;3;3.19178082191781;1.90038699244648;4;8.36000000000001;0.700300728754651;3.39825166138773
2012;death_count;2400;5;6;6.57534246575342;2.9357488150253;8;14.36;0.880649092297764;4.6348699387029
2013;Female;1177;2;3;3.23351648351648;1.74957775220832;4;7;0.49652934075966;2.97825339940234
2013;Male;1159;2;3;3.18406593406593;1.84724318636722;4;9;0.645407701001019;3.40418417563544
2013;death_count;2338;5;6;6.42307692307692;2.59414797758411;8;13;0.388076273383862;2.8093230838687
2014;Female;1134;2;3;3.11538461538462;1.79466138687407;4;7;0.307697230814122;2.57956281652553
2014;Male;1069;2;3;2.93681318681319;1.73407488637635;4;8;0.633791143293737;3.45025042478147
2014;death_count;2208;4;6;6.06593406593407;2.54459811480883;8;12;0.497765545309181;3.44457229838808
2015;Female;1009;1;3;2.78729281767956;1.86275757441925;4;8.38999999999999;1.00931434338327;4.54898054530759
2015;Male;923;1;2;2.54972375690608;1.74051045810713;3;8;1.19492898909079;6.12407188458702
2015;death_count;1936;3;5;5.34806629834254;2.69098404722264;7;14;1.06806554598638;4.58646873658056
2016;Female;971;2;3;2.66758241758242;1.49266108490868;4;6;0.505093530722489;3.09954885959276
2016;Male;933;1;2;2.56318681318681;1.6987653134995;3;7.37;0.909399548475471;3.85847807035216
2016;death_count;1907;4;5;5.23901098901099;2.30115915451851;7;11;0.452262748395346;3.03435745743074
2017;Female;950;1;2;2.62430939226519;1.6092754665625;4;7;0.627579541459417;3.14433939667064
2017;Male;840;1;2;2.32044198895028;1.61436481791553;3;7.38999999999999;1.0348801513782;4.70254646609982
2017;death_count;1790;3;5;4.94475138121547;2.26431734536274;6;11;0.604708620624467;3.02310855673759
2018;Female;880;1;2;2.47191011235955;1.65360817703743;3;6.44999999999999;0.766289095117903;3.63016167868852
2018;Male;815;1;2;2.28932584269663;1.70599558987777;3;8;1.10193850079662;4.88657844457316
2018;death_count;1695;3;5;4.76123595505618;2.44298654454838;6;11.45;1.00711287266672;5.7577058204424
