variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
BelowTen;NA;0;0;0.460843373493976;0.706312384850396;1;3;1.62903386621257;5.9364236984766
Female;7341;1;2;2.01013143483023;1.54885960441931;3;7;0.8753143292442;3.88140888724933
Male;8464;1;2;2.31763417305586;1.67403556075849;3;7;0.85972350939449;3.76608269769067
SixtyFivePlus;4073;0;1;1.11527929901424;1.09884870593296;2;4;1.0964606963784;4.478318645494
TenToSixtyFour;10081;1;2;2.76040525739321;1.94609319361109;4;9;0.894240676111961;3.82469701199513
co;NA;0.206873963079921;0.360895833333335;0.5067121031061;0.438825451062685;0.684715555089485;2.12906932598039;2.03175055076275;9.13208515512576
death_count;15837;3;4;4.33652792990142;2.48101016560557;6;11;0.783313331468006;3.79693577120207
no;NA;4.01203869887;7.20908333333333;11.6161967779716;13.8197846362198;12.9187574847028;71.7261145833332;3.04546215446438;14.4054242786102
no2;NA;8.3283515625;11.8751125247042;13.9413540557757;7.50113272328117;18.1745256130416;37.6994895833333;1.22348865429784;4.71295962716232
nox;NA;12.2779739583333;18.3701850033505;25.0386479083329;20.2340454312136;30.4894502761465;101.288335833333;2.27929341474314;9.52492101307021
o3;NA;16.1695989583333;23.5036458333333;24.6033739030976;10.9527411628886;31.6104270833333;52.9463920112807;0.549531356224955;3.0083039566832
pm10;NA;19.4553043980902;34.6845836896354;43.4386311228893;31.9108477510542;58.9340526850048;143.666007291666;1.49216727999273;6.38760633054078
pm2.5;NA;11.1542395833333;18.6982731884188;22.7620417546589;15.7656854597718;30.7002355161158;74.1355553222262;1.3844292248166;5.36421697774943
pressure;NA;850.768518409529;853.2190625;853.474752190606;5.99257539144679;856.023854166666;872.574481126932;-1.58109407949205;20.2740711389987
relHum;NA;50.1075;60.7808135062352;59.5405196606347;14.8325321857894;69.8124479166667;90.7654104166667;-0.285120493676655;2.846687162836
so2;NA;5.78315924967785;9.45798954227093;11.8584771860971;8.5614457273932;15.400515625;40.2889335972762;1.59214226965118;6.28966920454407
temp;NA;11.77171875;16.4169419962489;15.7823137298493;5.05879826533356;20.0144791666667;24.6064166666667;-0.334013461653526;2.28486210806294
wd;NA;128.365385986747;203.449695028597;200.526682366111;81.7946766375253;273.588635949331;350.97801760782;-0.13901853672031;2.04223518219305
ws;NA;1.41879028413425;1.93125;2.04371739679373;0.823318266432866;2.587421875;4.24276458333333;0.591642926440557;2.97823240050372
