year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2009;Female;1174;2;3;3.21643835616438;1.74776259630141;4;7.36000000000001;0.538639656183618;3.23296798354062
2009;Male;1000;1;2;2.73972602739726;1.78845041021208;4;8;0.856272530611573;3.97432068398252
2009;SixtyFivePlus;1185;2;3;3.24657534246575;1.8589021183629;4;8;0.619329101136344;3.30409994533925
2009;TenToSixtyFour;970;2;2;2.65753424657534;1.62753756292797;4;8;0.707206465892412;3.78545135947413
2009;death_count;2176;4;6;5.96164383561644;2.52322346038558;8;13;0.458379194993043;3.06782681992938
2009;no2;NA;15.0010416666667;23.0760774491088;22.3254491500393;9.92962262274264;28.4892232142857;47.542615;0.189426265552543;2.74816483228633
2009;pm10;NA;20.2025987608817;33.1237184964867;44.5071763007653;31.3956022086356;61.6141857961555;132.324247771626;1.02349820085103;3.35726592027759
2009;pm2.5;NA;12.8298125;20.2682708333333;25.9329108273774;18.1422682839055;35.3478125;81.8981575;1.3025635961675;4.54560186358502
2009;so2;NA;7.17858883089107;11.4269964980012;14.208694009412;10.1995640938308;17.9651875;46.6303178046949;1.58351368321513;5.98661987475389
2010;Female;1076;2;3;2.94794520547945;1.72411066332962;4;7.36000000000001;0.434806797613503;2.91379159675295
2010;Male;970;2;3;2.65753424657534;1.56207788216539;4;6.36000000000001;0.384104925467995;2.72516914862269
2010;SixtyFivePlus;1119;2;3;3.06575342465753;1.71003977671125;4;8;0.455478969931723;3.1521683984459
2010;TenToSixtyFour;913;1;2;2.5013698630137;1.58222380978612;4;7;0.601726443909932;3.17716580949023
2010;death_count;2047;4;5;5.60821917808219;2.32578436637233;7;11;0.232918952466435;2.64371320961248
2010;no2;NA;9.27860407935176;13.4496458333333;14.3213416952055;6.12567691448109;18.2950833333333;29.8304570250659;0.682424080856513;3.09280199281332
2010;pm10;NA;22.3357708333333;35.5215625;44.7831940084777;30.435422451369;59.4441041666667;130.751971666667;1.20313385150177;4.12309420394844
