year;variable;n;NAs;q25;median;mean;sd;q75;q99;skew;kurtosis
2009;pm2.5;365;0;12,8298125;20,26827083;25,93291083;18,14226828;35,3478125;81,8981575;1,302563596;4,545601864
2009;pm10;365;0;20,20259876;33,1237185;44,5071763;31,39560221;61,6141858;132,3242478;1,023498201;3,35726592
2009;so2;365;0;7,178588831;11,4269965;14,20869401;10,19956409;17,9651875;46,6303178;1,583513683;5,986619875
2009;no2;365;0;15,00104167;23,07607745;22,32544915;9,929622623;28,48922321;47,542615;0,189426266;2,748164832
2009;temp;365;0;11,21369886;15,56375;15,34048665;4,755198884;19,39875;24,06753484;-0,094958353;1,958551888
2010;pm2.5;365;0;12,98378809;20,328125;25,48894299;17,21904726;33,66089583;81,95083083;1,553827939;6,517885456
2010;pm10;365;0;22,33577083;35,5215625;44,78319401;30,43542245;59,44410417;130,7519717;1,203133852;4,123094204
2010;so2;365;0;6,632229167;10,26682132;12,46056677;7,728015876;16,337;35,03738083;1,406866174;5,566202739
2010;no2;365;0;9,278604079;13,44964583;14,3213417;6,125676914;18,29508333;29,83045703;0,682424081;3,092801993
2010;temp;365;0;12,80770833;17,18770833;16,30031569;4,303568509;19,77020833;23,43515833;-0,40293116;2,267983268
2011;pm2.5;365;0;15,85508172;21,59004269;26,5603126;15,41774262;34,76059225;82,7789578;1,571792491;6,286960608
2011;pm10;365;0;29,95041667;48,33016564;54,42017741;33,20060453;68,44998227;177,6329785;1,706197651;7,053961328
2011;so2;365;0;7,420006566;12,09531967;13,89960647;8,775526085;18,17082249;42,99985324;1,543552219;6,697321825
2011;no2;365;0;7,992182639;10,15059452;11,07975108;5,021400486;12,70995833;26,87221139;1,689000815;6,634262794
2011;temp;365;0;7,50653214;10,8004362;12,4470816;6,345022795;19,06507969;24,0700094;0,165938583;1,733889407
2012;pm2.5;366;0;11,54792188;18,12221875;22,01116499;14,69274066;28,07558854;68,24361771;1,725083047;7,416586151
2012;pm10;366;0;22,4493453;37,0738812;52,78945066;41,28576761;78,42304274;188,1574463;1,687096237;7,610631681
2012;so2;366;0;5,600739583;9,443735946;11,64690973;7,963490389;15,25839835;36,23172064;1,183598355;4,120772844
2012;no2;366;0;6,728240885;8,348060307;9,441345382;3,991769162;11,70419271;20,48057917;0,937355942;3,518640234
2012;temp;366;0;11,17778599;15,69583333;15,17134415;4,921365021;19,554375;23,80231153;-0,160356704;1,907769555
2013;pm2.5;365;0;10,1199375;16,24897917;20,92427309;13,71953594;30,159;57,5822725;0,848045847;2,905793565
2013;pm10;365;0;19,31994505;38,9913125;44,91743872;29,17617262;64,221125;124,60584;0,724315899;2,754045636
2013;so2;365;0;6,147481967;10,68108602;13,23886862;9,446144066;18,03789927;41,83845041;1,239033259;4,391298504
2013;no2;365;0;10,00410985;13,9475;14,75492025;5,947910173;19,15783333;30,69454843;0,663850059;3,105665555
2013;temp;365;0;11,47333333;15,60608265;15,61116325;4,961367974;19,81979167;23,88143421;-0,348701746;2,69870791
2014;pm2.5;365;0;7,191446759;10,8268924;14,03570394;9,636119233;18,67589583;43,02471854;1,145534369;3,652468204
2014;pm10;365;0;12,08757183;21,19595833;26,83484418;19,64037021;39,04888545;76,74331083;1,879311327;11,36969366
2014;so2;365;0;5,632409085;9,797594043;12,05392217;9,085173085;16,05797717;43,15773991;1,573952988;6,4946981
2014;no2;365;0;7,121833333;10,76856305;11,6029247;5,400622241;14,92557118;23,26720132;0,797801556;3,894101067
2014;temp;365;0;12,751875;16,40509196;16,11902282;4,506493404;20,0675;23,1724381;-0,30108759;2,055718495
2014;relHum;365;0;46,55522653;60,15287701;58,66375822;16,70597564;70,655;94,309075;-0,105066746;2,423377555
2014;pressure;365;0;851,3666667;853,2775364;853,6482992;3,429640864;856,0821652;861,7177567;0,139188178;3,002825434
2015;pm2.5;365;0;8,084333333;14,7131875;21,10250865;16,97241877;30,21397917;73,15935167;1,283775134;4,127803882
2015;pm10;365;0;14,63133114;39,0229375;49,5472655;41,2464885;73,812;163,0672879;0,993784086;3,123937787
2015;so2;365;0;5,1059315;8,472583333;10,87062018;8,17291597;14,47522917;38,25276648;1,344700905;4,612995817
2015;no2;365;0;9,6475625;14,48572563;15,81327973;8,068610236;20,13375;41,22709042;1,13595308;4,850975019
2015;temp;365;0;14,72583333;18,55125527;17,88417262;4,500937367;21,30208333;26,24910833;-0,362184072;2,525972771
2016;pm2.5;366;0;8,958030729;13,143;16,57380223;10,47870022;21,56583658;47,4935659;1,220978611;4,269000349
2016;pm10;366;0;18,53911458;30,8624375;37,31668826;24,21787577;52,63938021;106,3486328;1,00476959;3,544415927
2016;so2;366;0;5,040497713;7,046328069;9,638263824;7,693057349;10,84362983;37,77485521;2,039309195;7,582400222
2016;no2;366;0;7,86301429;12,18123865;13,74640087;7,39971445;17,83460938;35,69930938;1,053579569;3,947046135
2016;temp;366;0;10,92807292;15,72833333;15,5706753;5,204694145;20,07322917;24,46820833;-0,071539899;1,775083258
2016;relHum;366;0;50,20833333;60,44270833;60,2350423;14,14324982;69,08807292;93,51788542;0,113460036;2,899533428
2016;pressure;366;0;851,3788542;854,140625;855,6387468;6,589512246;857,7525521;879,0605971;1,686551543;6,219220439
2017;pm2.5;365;0;12,96247843;25,9861673;28,48931244;18,63777815;38,50033333;74,82757149;0,7493988;2,857257911
2017;pm10;365;0;15,40961082;24,89652002;31,43533876;19,5135894;44,47888975;85,82839696;0,937101047;3,235499506
2017;so2;365;0;4,876750703;7,718131802;9,960755485;7,835099106;12,64935417;38,90533041;2,151329381;9,265621
2017;no2;365;0;7,6493125;9,462879028;11,49483904;6,359393327;13,31849626;32,83520292;1,800614772;6,922423573
2017;temp;365;0;12,231875;15,85270833;15,83679351;4,634058974;20,023125;23,82004167;-0,203911724;2,171709136
