year;variable;Total;q25;median;mean;sd;q75;q99;skew;kurtosis
2008;Female;1969;4;5;5.37978142076503;2.44960739516527;7;12;0.498252518531521;3.05193887101705
2008;Male;1900;4;5;5.19125683060109;2.27711185848414;7;11;0.351669533152897;2.98158292709587
2008;death_count;3870;8;10;10.5737704918033;3.4977519969422;13;18.35;0.342888402905814;3.02756781460899
2009;Female;1928;3;5;5.28219178082192;2.38811977547613;7;12;0.556146919117207;3.43892625787333
2009;Male;2024;4;5;5.54520547945206;2.5335681032954;7;13;0.678367640141652;3.53095837398187
2009;death_count;3955;8;10;10.8356164383562;3.65779950449907;13;20;0.545900509591778;3.50222433401644
2010;Female;1647;3;4;4.51232876712329;2.13500039925103;6;10;0.768265044681992;4.48555921189935
2010;Male;1804;3;5;4.94246575342466;2.268871882157;6;10.36;0.425971767343296;2.97252030784527
2010;death_count;3452;7;9;9.45753424657534;3.08870317608383;11;18;0.455746896386156;3.39697355919504
2011;Female;1559;3;4;4.27123287671233;2.04223801580567;6;9.36000000000001;0.529816600100814;3.37593846761208
2011;Male;1739;3;5;4.76438356164384;2.37300349067632;6;11;0.350731177414895;2.84323395196652
2011;death_count;3304;7;9;9.05205479452055;3.16054443029843;11;17;0.17803497087487;2.86003044023517
2012;Female;1517;3;4;4.1448087431694;2.02810738186165;5;10;0.603703744230606;3.73613789448281
2012;Male;1563;3;4;4.27049180327869;2.10297982420862;5;10;0.631809472434332;3.14252632964334
2012;death_count;3083;6;8;8.42349726775956;3.06520817568179;10;16;0.512152303186572;3.03647757745607
2013;Female;1488;3;4;4.07671232876712;2.0285408974217;5;9;0.372121461364482;2.81264930621673
2013;Male;1537;3;4;4.21095890410959;2.08524128599881;6;9;0.244510652011195;2.67910782968973
2013;death_count;3027;6;8;8.29315068493151;3.00532168868932;10;16;0.422879549465497;3.41142268520527
2014;Female;1587;3;4;4.34794520547945;2.15014116512297;6;10;0.436453486298414;3.0929121975089
2014;Male;1628;3;4;4.46027397260274;2.18050425953074;6;10;0.606239753179196;3.018902574419
2014;death_count;3222;7;9;8.82739726027397;3.08315434816486;11;16.36;0.423200597861963;3.01161708673954
2015;Female;1511;3;4;4.13972602739726;2.22983883799124;6;10;0.456887263823241;2.89755455688848
2015;Male;1476;2;4;4.04383561643836;2.25886448555742;5;10.36;0.726011182142555;3.83661403065628
2015;death_count;2993;6;8;8.2;3.37508648647835;10;16.36;0.392853808790893;2.88382455644537
2016;Female;1466;3;4;4.00546448087432;1.99038033884368;5;9.35000000000002;0.531045295425913;3.09557182560781
2016;Male;1443;2;4;3.94262295081967;2.11957289699213;5;9;0.505725307797899;3.00640758529352
2016;death_count;2912;6;8;7.95628415300546;2.99831027594155;10;16;0.374391824755767;3.04303624174068
2017;Female;1304;2;3;3.57260273972603;1.99541096279239;5;9;0.640854115626732;3.67954162532641
2017;Male;1353;2;4;3.70684931506849;2.02703762407842;5;9;0.653840183554514;4.05942019528361
2017;death_count;2658;5;7;7.28219178082192;2.83518621913711;9;15;0.445399132284473;3.2091091735023
2018;Female;1382;2;3;3.80716253443526;1.94858028599495;5;9;0.563729016642197;3.10570933136657
2018;Male;1347;2;3;3.71074380165289;2.10539172296019;5;10;0.615414070820783;3.25680438584161
2018;death_count;2743;5;7;7.5564738292011;2.98041131727981;9.5;14.38;0.373359821314592;2.78915673100111
